Results for 116th Congress
,
Last,First,Middle,Suffix,Nickname,Born,Death,Sex,Position,Party,State,District,Start,End,Religion,Race,Educational Attainment,JobType1,JobType2,JobType3,JobType4,JobType5,Mil1,Mil2,Mil3
Alexander,Lamar,,,,07/03/1940,,M,U.S. Senator,Republican,TN,,01/03/2003,01/03/2021,Presbyterian,White,Professional degree,Public service/politics,,,,,Did not serve,,
Blumenthal,Richard,,,,02/13/1946,,M,U.S. Senator,Democrat,CT,,01/03/2011,01/03/2023,Jewish,White,Professional degree,Law,,,,,U.S. Marine Corps Reserve,,
Blunt,Roy,,,,01/10/1950,,M,U.S. Senator,Republican,MO,,01/03/2011,01/03/2023,Baptist,White,Master's degree,Education,,,,,Did not serve,,
Booker,Cory,Anthony,,,04/27/1969,,M,U.S. Senator,Democrat,NJ,,10/31/2013,01/03/2021,African Methodist Episcopalian,African American,Professional degree,Law,,,,,,,
Capito,Shelley,Moore,,,11/26/1953,,F,U.S. Senator,Republican,WV,,01/03/2015,01/03/2021,Presbyterian,White,Master's degree,Education,,,,,Did not serve,,
Cassidy,Bill,,,,09/28/1957,,M,U.S. Senator,Republican,LA,,01/03/2015,01/21/2021,Christian,White,Professional degree,Medicine,,,,,Did not serve,,
Cochran,William,Thad,,Thad,12/07/1937,,M,U.S. Senator,Republican,MS,,01/03/1979,04/01/2018,Baptist,White,Professional degree,Law,,,,,Navy,,
Collins,Susan,Margaret,,,12/07/1952,,F,U.S. Senator,Republican,ME,,01/07/1997,01/03/2021,Roman Catholic,White,Bachelor's degree,Business or banking,Congressional Aide,Public service/politics,,,Did not serve,,
Coons,Chris,A.,,,09/09/1963,,M,U.S. Senator,Democrat,DE,,11/15/2010,01/03/2021,Presbyterian,White,Master's degree,Education,Law,,,,Did not serve,,
Cornyn,John,,,,02/02/1952,,M,U.S. Senator,Republican,TX,,12/02/2002,01/03/2021,Church of Christ,White,Professional degree,Law,,,,,Did not serve,,
Cortez Masto,Catherine,,,,03/29/1964,,F,U.S. Senator,Democrat,NV,,01/03/2017,01/03/2023,Roman Catholic,Hispanic,Professional degree,Public service/politics,,,,,,,
Cotton,Tom,,,,05/13/1977,,M,U.S. Senator,Republican,AR,,01/03/2015,01/02/2021,Methodist,White,Professional degree,Business or banking,Law,,,,Army,,
Crapo,Michael,D.,,,05/20/1951,,M,U.S. Senator,Republican,ID,,01/03/1999,01/03/2023,Mormon,White,Professional degree,Law,,,,,Did not serve,,
Daines,Steve,,,,08/20/1962,,M,U.S. Senator,Republican,MT,,01/03/2015,01/02/2021,Presbyterian,White,Bachelor's degree,Business or banking,,,,,Did not serve,,
Duckworth,Tammy,,,,03/12/1968,,F,U.S. Senator,Democrat,IL,,01/03/2017,01/03/2023,Not specified,Asian American,Doctorate degree,Public service/politics,,,,,Army Reserve,National Guard,
Durbin,Richard,Joseph,,,11/21/1944,,M,U.S. Senator,Democrat,IL,,01/07/1997,01/03/2021,Roman Catholic,White,Bachelor's degree,Law,,,,,Did not serve,,
Enzi,Michael,B.,,,02/01/1944,,M,U.S. Senator,Republican,WY,,01/07/1997,01/03/2021,Presbyterian,White,Master's degree,Business or banking,,,,,Air National Guard-Wyoming,,
Ernst,Joni,,,,07/01/1970,,F,U.S. Senator,Republican,IA,,01/03/2015,01/03/2021,Lutheran,White,Master's degree,Military,Public service/politics,,,,Army Reserve,Iowa National Guard,Iowa National Guard
Gardner,Cory,,,,08/22/1974,,M,U.S. Senator,Republican,CO,,01/03/2015,01/02/2021,Lutheran,White,Professional degree,Business or banking,,,,,Did not serve,,
Graham,Lindsey,O.,,,07/09/1955,,M,U.S. Senator,Republican,SC,,01/03/2003,01/03/2021,Southern Baptist,White,Professional degree,Law,,,,,Air Force,Air Force Reserve,SC Air National Guard
Grassley,Charles,Ernest,,,09/17/1933,,M,U.S. Senator,Republican,IA,,01/05/1981,01/03/2023,Baptist,White,Master's degree,Agriculture,,,,,Did not serve,,
Harris,Kamala,,,,10/20/1964,,F,U.S. Senator,Democrat,CA,,01/03/2017,01/03/2023,Baptist,African American,Professional degree,Law,,,,,,,
Hassan,Maggie,,,,02/27/1958,,F,U.S. Senator,Democrat,NH,,01/03/2017,01/03/2023,United Church of Christ,White,Professional degree,Law,,,,,,,
Hoeven,John,,,,03/13/1957,,M,U.S. Senator,Republican,ND,,01/03/2011,01/03/2023,Roman Catholic,White,Professional degree,Business or banking,,,,,Did not serve,,
Inhofe,James,Mountain,,,11/17/1934,,M,U.S. Senator,Republican,OK,,11/17/1994,01/03/2021,Presbyterian,White,Bachelor's degree,Business or banking,Public service/politics,Real Estate,,,Army,,
Isakson,Johnny,,,,12/24/1944,,M,U.S. Senator,Republican,GA,,01/03/2005,01/03/2023,Methodist,White,Bachelor's degree,Real Estate,,,,,Did not serve,,
Johnson,Ron,,,,04/08/1955,,M,U.S. Senator,Republican,WI,,01/03/2011,01/03/2023,Lutheran,White,Bachelor's degree,Business or banking,,,,,Did not serve,,
Jones,Doug,,,,05/04/1954,,M,U.S. Senator,Democrat,AL,,01/03/2018,01/03/2021,Methodist,White,Professional degree,Construction/building trades,Law,,,,,,
Kennedy,John,,,,11/21/1951,,M,U.S. Senator,Republican,LA,,01/03/2017,01/03/2023,United Methodist,White,Professional degree,Law,Public service/politics,,,,,,
Lankford,James,,,,03/04/1968,,M,U.S. Senator,Republican,OK,,01/03/2015,01/02/2021,Baptist,White,Master's degree,Clergy,,,,,Did not serve,,
Leahy,Patrick,Joseph,,,03/31/1940,,M,U.S. Senator,Democrat,VT,,01/14/1975,01/03/2023,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,
Lee,Mike,,,,06/04/1971,,M,U.S. Senator,Republican,UT,,01/03/2011,01/03/2023,Mormon,White,Professional degree,Law,,,,,Did not serve,,
Markey,Edward,J.,,,07/11/1946,,M,U.S. Senator,Democrat,MA,,07/16/2013,01/03/2021,Roman Catholic,White,Professional degree,Law,,,,,Army Reserve,,
McCain,John,Sidney,III,,08/29/1936,08/25/2018,M,U.S. Senator,Republican,AZ,,01/06/1987,08/25/2018,Episcopalian,White,Bachelor's degree,Business or banking,Military,,,,Navy,,
McConnell,Addison,Mitchell,,Mitch,02/20/1942,,M,U.S. Senator,Republican,KY,,01/03/1985,01/03/2021,Baptist,White,Professional degree,Congressional Aide,Law,,,,Did not serve,,
Merkley,Jeff,,,,10/24/1956,,M,U.S. Senator,Democrat,OR,,01/06/2009,01/03/2021,Lutheran,White,Master's degree,Public service/politics,,,,,Did not serve,,
Moran,Jerry,,,,05/29/1954,,M,U.S. Senator,Republican,KS,,01/03/2011,01/03/2023,Methodist,White,Professional degree,Law,Public service/politics,,,,Did not serve,,
Murkowski,Lisa,,,,05/22/1957,,F,U.S. Senator,Republican,AK,,12/20/2002,01/03/2023,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,
Murray,Patty,,,,10/11/1950,,F,U.S. Senator,Democrat,WA,,01/05/1993,01/03/2023,Roman Catholic,White,Bachelor's degree,Education,,,,,Did not serve,,
Paul,Rand,,,,01/07/1963,,M,U.S. Senator,Republican,KY,,01/03/2011,01/03/2023,Presbyterian,White,Professional degree,Medicine,,,,,Did not serve,,
Pence,Mike,,,,06/07/1959,,M,U.S. Vice President,Republican,,,01/20/2017,01/20/2021,Christian,White,Professional degree,Acting/entertainer,,,,,Did not serve,,
Perdue,David,,,,12/10/1949,,M,U.S. Senator,Republican,GA,,01/03/2015,01/03/2021,Methodist,White,Master's degree,Business or banking,,,,,Did not serve,,
Peters,Gary,,,,12/01/1958,,M,U.S. Senator,Democrat,MI,,01/03/2014,01/02/2021,Episcopalian,White,Master's degree,Education,,,,,Naval Reserve,,
Portman,Rob,,,,12/19/1955,,M,U.S. Senator,Republican,OH,,01/03/2011,01/03/2023,Methodist,White,Professional degree,Congressional Aide,Law,Public service/politics,,,Did not serve,,
Reed,John,F.,,Jack,11/12/1949,,M,U.S. Senator,Democrat,RI,,01/07/1997,01/03/2021,Roman Catholic,White,Professional degree,Education,Law,,,,Army,,
Risch,Jim,,,,05/03/1943,,M,U.S. Senator,Republican,ID,,01/06/2009,01/03/2021,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,
Roberts,Charles,Patrick,,Pat,04/20/1936,,M,U.S. Senator,Republican,KS,,01/07/1997,01/03/2021,Methodist,White,Bachelor's degree,Congressional Aide,Journalism,,,,Marine Corps,,
Rounds,Michael,,,Mike,10/24/1954,,M,U.S. Senator,Republican,SD,,01/03/2015,01/03/2021,Roman Catholic,White,Bachelor's degree,Business or banking,Real Estate,,,,Did not serve,,
Rubio,Marco,,,,05/28/1971,,M,U.S. Senator,Republican,FL,,01/03/2011,01/03/2023,Roman Catholic,Hispanic,Professional degree,Law,,,,,Did not serve,,
Sasse,Ben,,,,02/22/1972,,M,U.S. Senator,Republican,NE,,01/03/2015,01/03/2021,Evangelical,White,Doctorate degree,Business or banking,Education,Public service/politics,,,Did not serve,,
